date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:57	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:33:58%20GMT	http://auth.hal-software.com/robots.txt		(from )
12:33:57	1232/1232	---M-Z	200	added ('OK')	text/html	etag:%223f36dc92c42cd31:0%22	http://auth.hal-software.com/	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/index.html	(from )
12:33:58	2236/2236	---M-Z	200	added ('OK')	text/css	etag:%221b61efa2c42cd31:0%22	http://auth.hal-software.com/styles/loading-bar.min.css?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/styles/loading-bar.mine166.css	(from http://auth.hal-software.com/)
12:33:59	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%22ebbd8aa2c42cd31:0%22	http://auth.hal-software.com/styles/bootstrap.min.css?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/styles/bootstrap.mine166.css	(from http://auth.hal-software.com/)
12:33:59	82157/82157	---M-Z	200	added ('OK')	text/css	etag:%22cdc246a2c42cd31:0%22	http://auth.hal-software.com/styles/app.min.css?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/styles/app.mine166.css	(from http://auth.hal-software.com/)
12:34:00	95786/95786	---M-Z	200	added ('OK')	application/x-javascript	etag:%22846dd3a0c42cd31:0%22	http://auth.hal-software.com/scripts/jquery-1.11.1.min.js?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/scripts/jquery-1.11.1.mine166.js	(from http://auth.hal-software.com/)
12:34:01	32988/32988	---M--	200	added ('OK')	image/x-icon	etag:%22ab2ee69dc42cd31:0%22	http://auth.hal-software.com/images/favicon.ico	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/favicon.ico	(from http://auth.hal-software.com/)
12:34:02	2561/2561	---M-Z	200	added ('OK')	application/x-javascript	etag:%22398e2ea0c42cd31:0%22	http://auth.hal-software.com/scripts/angular-messages.min.js?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/scripts/angular-messages.mine166.js	(from http://auth.hal-software.com/)
12:34:03	38662/38662	---M-Z	200	added ('OK')	application/x-javascript	etag:%224aa78a0c42cd31:0%22	http://auth.hal-software.com/scripts/angular-ui-router.min.js?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/scripts/angular-ui-router.mine166.js	(from http://auth.hal-software.com/)
12:34:03	5315/5315	---M-Z	200	added ('OK')	application/x-javascript	etag:%227f6633a0c42cd31:0%22	http://auth.hal-software.com/scripts/angular-local-storage.min.js?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/scripts/angular-local-storage.mine166.js	(from http://auth.hal-software.com/)
12:34:04	154333/154333	---MCZ	200	added ('OK')	application/x-javascript	etag:%22d61393a0c42cd31:0%22	http://auth.hal-software.com/scripts/angular.min.js?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/scripts/angular.mine166.js	(from http://auth.hal-software.com/)
12:34:04	3500/3500	---M-Z	200	added ('OK')	application/x-javascript	etag:%22157a5ba1c42cd31:0%22	http://auth.hal-software.com/scripts/loading-bar.min.js?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/scripts/loading-bar.mine166.js	(from http://auth.hal-software.com/)
12:34:05	34751/34751	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a99237a1c42cd31:0%22	http://auth.hal-software.com/scripts/jqxangular.js?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/scripts/jqxangulare166.js	(from http://auth.hal-software.com/)
12:34:06	28708/28708	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a06d97a1c42cd31:0%22	http://auth.hal-software.com/scripts/moment.min.js?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/scripts/moment.mine166.js	(from http://auth.hal-software.com/)
12:34:06	37784/37784	---M-Z	200	added ('OK')	application/x-javascript	etag:%228644ce93c42cd31:0%22	http://auth.hal-software.com/app/app.min.js?v=1.0.4	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/app/app.mine166.js	(from http://auth.hal-software.com/)
12:34:07	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:08%20GMT	http://auth.hal-software.com/fonts/glyphicons-halflings-regular.eot	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/fonts/glyphicons-halflings-regular.e.delayed	(from http://auth.hal-software.com/styles/bootstrap.min.css?v=1.0.4)
12:34:07	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:08%20GMT	http://auth.hal-software.com/fonts/glyphicons-halflings-regular.eot?	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/fonts/glyphicons-halflings-regular.fd41d.delayed	(from http://auth.hal-software.com/styles/bootstrap.min.css?v=1.0.4)
12:34:08	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:08%20GMT	http://auth.hal-software.com/fonts/glyphicons-halflings-regular.woff2	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/fonts/glyphicons-halflings-regular.10.delayed	(from http://auth.hal-software.com/styles/bootstrap.min.css?v=1.0.4)
12:34:08	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:09%20GMT	http://auth.hal-software.com/fonts/glyphicons-halflings-regular.woff	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/fonts/glyphicons-halflings-regular.11.delayed	(from http://auth.hal-software.com/styles/bootstrap.min.css?v=1.0.4)
12:34:08	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:09%20GMT	http://auth.hal-software.com/fonts/glyphicons-halflings-regular.ttf	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/fonts/glyphicons-halflings-regular.12.delayed	(from http://auth.hal-software.com/styles/bootstrap.min.css?v=1.0.4)
12:34:09	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:09%20GMT	http://auth.hal-software.com/fonts/glyphicons-halflings-regular.svg	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/fonts/glyphicons-halflings-regular.13.delayed	(from http://auth.hal-software.com/styles/bootstrap.min.css?v=1.0.4)
12:34:09	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:10%20GMT	http://auth.hal-software.com/images/menubutton.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/menubutton.14.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:10	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:10%20GMT	http://auth.hal-software.com/images/sortascbutton.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/sortascbutton.15.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:10	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:10%20GMT	http://auth.hal-software.com/images/sortdescbutton.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/sortdescbutton.16.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:11	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:12%20GMT	http://auth.hal-software.com/images/filter.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/filter.17.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:11	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:12%20GMT	http://auth.hal-software.com/images/red_arrow_up.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/red_arrow_up.18.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:12	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:12%20GMT	http://auth.hal-software.com/images/red_arrow_down.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/red_arrow_down.19.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:12	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:13%20GMT	http://auth.hal-software.com/images/sortasc.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/sortasc.1a.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:12	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:13%20GMT	http://auth.hal-software.com/images/sortdesc.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/sortdesc.1b.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:13	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:13%20GMT	http://auth.hal-software.com/images/sortremove.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/sortremove.1c.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:13	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:14%20GMT	http://auth.hal-software.com/images/drag.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/drag.1d.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:14	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:14%20GMT	http://auth.hal-software.com/images/dragcancel.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/dragcancel.1e.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:14	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2016:34:14%20GMT	http://auth.hal-software.com/images/loader.gif	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/loader.1f.delayed	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:15	118/118	---M--	200	added ('OK')	image/png	etag:%22ebbbdd9ec42cd31:0%22	http://auth.hal-software.com/images/icon-right.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/icon-right.png	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:15	120/120	---M--	200	added ('OK')	image/png	etag:%22a27cab9ec42cd31:0%22	http://auth.hal-software.com/images/icon-left.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/icon-left.png	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
12:34:16	119/119	---M--	200	added ('OK')	image/png	etag:%2272c06c9ec42cd31:0%22	http://auth.hal-software.com/images/icon-down.png	D:/Programming/WebStorm/Projects/auth.hal-software,com/auth.hal-software.com/images/icon-down.png	(from http://auth.hal-software.com/styles/app.min.css?v=1.0.4)
